#,Name,Signal description,RT (min),Area,Area%,Height,Height%,Amount,Concentration,Start time (min),End time (min)
1,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],0.131,1211416.931,3.007,258625.209,2.54,,,0.016,0.154
2,,"* DAD1B,Sig=215,4  Ref=off [s]",0.222,93.560,3.267,22.723,3.48,,,0.026,0.259
3,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],0.228,1018262.967,2.528,349262.472,3.43,,,0.207,0.257
4,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],0.278,822825.138,2.043,448059.039,4.41,,,0.257,0.294
5,,"* DAD1B,Sig=215,4  Ref=off [s]",0.295,47.952,1.675,11.005,1.68,,,0.262,0.357
6,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],0.308,711775.073,1.767,602285.351,5.92,,,0.294,0.331
7,,"* DAD1B,Sig=215,4  Ref=off [s]",0.417,61.391,2.144,8.738,1.34,,,0.357,0.487
8,,"* DAD1B,Sig=215,4  Ref=off [s]",0.548,54.191,1.893,7.065,1.08,,,0.487,0.749
9,,* MS1 -TIC SCAN ESI Frag=Ramp Gain=1.0 [s],0.558,510057.177,11.988,143472.815,27.11,,,0.535,0.608
10,peak@3.515min,"* DAD1B,Sig=215,4  Ref=off [s]",3.515,1964.440,68.606,434.916,66.54,,,3.239,4.214
11,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],3.628,1865022.385,4.630,453237.279,4.46,,,3.541,3.660
12,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],3.665,1288526.778,3.199,330304.971,3.25,,,3.660,3.765
13,peak@5.416min,"* DAD1B,Sig=215,4  Ref=off [s]",5.416,641.816,22.415,169.133,25.88,,,4.986,5.684
14,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],5.517,11983849.642,29.748,3859404.844,37.95,,,5.356,5.523
15,,* MS1 -TIC SCAN ESI Frag=Ramp Gain=1.0 [s],5.525,3744502.898,88.012,385760.669,72.89,,,5.366,5.784
16,,* MS1 +TIC SCAN ESI Frag=Ramp Gain=1.0 [s],5.531,21382844.602,53.080,3869207.671,38.04,,,5.523,5.759
